VARIABLES = "X", "Y", "obj_func", "sens_cb1", sens_sig", "sens_cb2","sens_kar", "sens_cw2", sens_cw3", "sens_cv1", "sens_x", "sens_y"
1.075054E+00      4.179538E-02      -6.314267E-02     -1.387868E-01     6.880935E-03      -5.983138E-03     3.183773E-02      -2.949342E-03     -4.639148E-04     -1.128194E-03     4.152215E-02      -1.327782E+00     
1.099912E+00      1.789671E-02      -3.119746E-02     3.843655E-01      1.707366E-02      4.324378E-03      1.639367E-01      1.667481E-02      -1.387274E-04     6.112296E-04      5.079236E-01      7.809462E-02      
1.098764E+00      4.179538E-02      -5.905139E-02     -6.580279E-02     6.855856E-03      -4.853995E-03     3.486017E-02      -1.049157E-03     -1.278121E-04     -7.704225E-04     8.403763E-02      -1.254758E+00     
1.095247E+00      1.787813E-02      -3.216432E-02     6.555462E-01      2.208881E-02      7.911644E-03      2.537963E-01      2.047609E-02      -6.788006E-05     1.156331E-03      7.607490E-01      1.234832E+00      
1.095247E+00      1.787813E-02      -3.085044E-02     2.594986E-01      1.890344E-02      2.291540E-03      9.953547E-02      1.300760E-02      -1.274493E-04     2.693842E-04      3.354536E-01      -6.706592E-01     
1.099912E+00      1.789671E-02      -7.326107E-02     5.614441E+00      3.453691E-01      8.952301E-02      1.755294E+00      2.528817E-01      -2.018844E-03     1.091281E-02      3.039880E+00      1.544195E+01      
1.096078E+00      1.946343E-02      -3.555608E-02     5.460250E-01      3.107343E-02      6.994362E-03      1.999855E-01      2.607366E-02      -7.691886E-04     9.170331E-04      6.384303E-01      6.485801E-01      
1.090751E+00      1.787163E-02      -2.840847E-02     1.358361E-01      7.117571E-03      3.556594E-05      7.449267E-02      5.650308E-03      -1.791903E-04     6.413958E-05      2.121807E-01      -9.672787E-01     
1.101661E+00      2.121131E-02      -3.251566E-02     -9.710532E-04     5.008615E-03      -2.438573E-03     3.595473E-02      1.235126E-03      -1.713464E-04     -3.544821E-04     7.549606E-02      -1.400382E+00     
1.086414E+00      1.787159E-02      -1.085699E-01     7.554611E+00      6.105056E-01      1.099528E-01      1.645276E+00      3.570067E-01      -9.583169E-04     1.601958E-02      3.780944E+00      2.004759E+01      
1.099142E+00      1.643900E-02      -4.438827E-02     3.328088E+00      1.077085E-01      5.502019E-02      1.151591E+00      1.333027E-01      1.905497E-04      7.602929E-03      2.109995E+00      9.621282E+00      
1.086414E+00      1.787159E-02      -2.002430E-01     8.507316E+00      4.938700E-01      1.106303E-01      2.415299E+00      3.188837E-01      -8.317778E-04     1.399001E-02      4.495020E+00      2.595440E+01      
1.094484E+00      1.642193E-02      -3.227977E-02     1.121813E+00      3.728041E-02      1.769589E-02      4.114884E-01      4.800602E-02      -2.198871E-03     2.445825E-03      1.109246E+00      2.960070E+00      
1.096983E+00      2.118929E-02      -3.383212E-02     5.742678E-02      7.773692E-03      -1.641882E-03     5.566724E-02      3.459308E-03      -2.576763E-04     -2.279163E-04     1.314030E-01      -1.248815E+00     
1.091575E+00      1.945636E-02      -3.250476E-02     1.303632E-01      9.368532E-03      2.537333E-05      8.574414E-02      7.018593E-03      -6.944559E-04     -2.345250E-05     2.144052E-01      -1.026000E+00     
9.809386E-01      2.751354E-04      1.819825E-01      -9.297279E-02     -3.950134E-02     9.254255E-03      -2.483816E-01     -5.387426E-03     -3.517809E-03     -7.534116E-04     1.986594E+01      2.167640E+03      
9.794834E-01      2.744597E-03      9.303074E-01      -4.909726E+00     -2.353516E-01     -3.602652E-02     -3.099486E+00     -5.098252E-02     2.515413E-02      -5.613434E-03     -9.391749E+01     -1.555495E+03     
9.190719E-01      1.691338E-02      7.597736E-01      -2.482931E+00     -1.612441E-01     -6.464363E-03     -2.388492E+00     -1.328799E-01     1.005702E-02      -3.928444E-06     -3.597103E+00     -2.854364E+01     
1.082229E+00      1.787159E-02      -8.816881E-02     6.929371E+00      5.368964E-01      1.123711E-01      1.501195E+00      3.508500E-01      -6.730088E-04     1.599620E-02      3.398266E+00      1.749749E+01      
9.820550E-01      3.192682E-03      -8.686440E-01     5.532665E+00      2.643639E-01      6.062304E-02      3.078106E+00      2.277535E-01      -2.586943E-02     8.953368E-03      -1.681292E+01     -1.235584E+03     
9.143471E-01      1.740629E-02      8.166757E-01      -1.883189E+00     -2.275985E-01     -5.588459E-03     -2.220431E+00     -1.722057E-01     3.648842E-03      2.540024E-03      -3.194623E+00     -2.970015E+01     
9.813962E-01      1.471112E-03      1.121480E+00      -3.567946E+00     -4.101381E-01     -8.284437E-03     -3.026015E+00     -1.225231E-01     5.565753E-02      4.978068E-03      -2.099272E+00     5.144599E+01      
9.234494E-01      1.532697E-02      7.007033E-01      -3.270639E+00     -1.662197E-01     -2.622706E-02     -2.446622E+00     -1.901733E-01     2.048679E-02      -3.369724E-03     -3.939605E+00     -2.822962E+01     
9.218234E-01      1.790263E-02      6.279067E-01      -3.381046E+00     -1.781482E-01     -2.506813E-02     -2.018678E+00     -2.028958E-01     1.374160E-02      -3.977966E-03     -3.550553E+00     -2.588073E+01     
1.087232E+00      1.945632E-02      -3.455271E-02     6.323669E-01      2.761171E-02      7.060679E-03      1.975574E-01      2.561963E-02      -1.960525E-04     1.075688E-03      6.795739E-01      9.380501E-01      
1.052222E+00      4.179538E-02      -6.615899E-02     -2.609588E-01     3.432341E-03      -8.844153E-03     1.855925E-02      -5.857048E-03     -1.583079E-04     -1.359072E-03     -4.249575E-02     -1.275558E+00     
